freq,indic_de,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,AVG,FI	5176209 	5188008 	5200598 	5213014 	5228172 	5246096 	5266268 	5288720 	5313399 	5338871 	5363352 	5388272 	5413971 	5438972 	5461512 	5479531 	5495303 	5508214 	5515525 	5521606 	5529543 	5541017 	5556106 	: 
A,AVG,FR	60762169 	61201676 	61644062 	62078165 	62532556 	63001253 	63437350 	63826129 	64178710 	64504541 	64818789 	65127852 	65438667 	65771309 	66312067 b	66548272 	66724104 	66918020 	67158348 	67388001 p	67571107 p	67764304 p	68065015 p	: 
A,AVG,FX	59062385 	59476236 	59893870 	60303631 	60734343 	61181499 	61597486 	61965052 	62300288 	62615472 	62917790 	63223158 	63536918 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AVG,GE	4418300 	4386450 	4362050 	4333900 	4318350 	4361396 	4397997 	4388386 	4383750 	4410910 	4452821 	4483434 	: 	: 	4109999 b	3724950 	3723387 	3728004 	3726549 	3720161 	3722716 	3708610 	: 	: 
A,AVG,HR	4468302 e	4300450 b	4305439 	4305555 	4308293 	4311674 	4313009 	4312749 	4310882 	4306322 	4296352 	4282921 	4269062 	4254475 	4236063 	4207993 	4172441 	4129853 	4090870 	4067206 	4047260 	3949330 	3856600 	: 
A,AVG,HU	10210971 	10187576 	10158608 	10129552 	10107146 	10087065 	10071370 	10055780 	10038188 	10022650 	10000023 	9971727 	9920362 b	9893082 	9866468 	9843028 	9814023 	9787966 	9775564 	9771141 	9750149 	9709891 	9644377 	: 
A,AVG,IE	3805174 	3866243 	3931947 	3996521 	4070262 	4159914 	4274137 	4398942 	4489544 	4535375 	4560155 	4580084 	4599533 	4623816 	4657740 	4701957 	4755335 	4807388 	4867316 e	4934340 e	4985382 	5033164 	5165700 	: 
A,AVG,IS	281205 	284968 	287523 	289521 	292074 	296734 	303782 	311566 	317414 	318499 	318041 	319014 	320716 	323764 	327386 	330815 	335439 	343400 	352721 	360563 	366463 	372520 	382003 	: 
A,AVG,IT	56942108 	56974100 	57059007 	57313203 	57685327 	57969484 	58143979 	58438310 	58826731 	59095365 	59277417 	59379449 	59539717 	60233948 	60789140 	60730582 	60627498 	60536709 	60421760 	59729081 b	59438851 	59133173 	59013667 	: 
A,AVG,LI	32645 	33194 	33694 	34079 	34447 	34753 	35037 	35262 	35473 	35742 	36022 	36312 	36657 	36984 	37248 	37494 	37716 	37962 	38246 	38563 	38901 	39182 	39493 	: 
A,AVG,LT	3499536 	3470818 	3443067 	3415213 	3377075 	3322528 	3269909 	3231294 	3198231 	3162916 	3097282 	3028115 	2987773 	2957689 	2932367 	2904910 	2868231 	2828403 	2801543 	2794137 	2794885 	2800839 	2831639 	: 
A,AVG,LU	436300 	441525 	446175 	451630 	458095 	465158 	472637 	479993 	488650 	497783 	506953 	518347 	530946 b	543360 	556319 	569604 	582014 	596336 b	607950 	620001 	630419 	640064 	653103 	: 
A,AVG,LV	2367550 	2337170 	2310173 	2287955 	2263122 	2238799 	2218357 	2200325 	2177322 	2141669 	2097555 	2059709 	2034319 	2012647 	1993782 	1977527 	1959537 	1942248 	1927174 	1913822 	1900449 	1884490 	1879383 	: 
A,AVG,MC	: 	: 	: 	: 	32957 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37950 e	37875 e	: 	38300 e	: 	: 	: 	: 	: 
